Date,AAPL,MSFT,GOOG,AMZN,NVDA
2016-01-19,21.793825149536133,28.724000930786133,34.828285217285156,44.27086639404297,0.6666492819786072
2016-01-20,21.823137283325195,28.588499069213867,34.66252136230469,44.47226333618164,0.6703079342842102
2016-01-21,21.712656021118164,28.750999450683594,35.06649398803711,44.20083236694336,0.678113579750061
2016-01-22,22.867063522338867,29.819000244140625,35.992557525634766,45.785667419433594,0.6939688920974731
2016-01-25,22.420631408691406,29.826499938964844,35.318603515625,45.34787368774414,0.6932370066642761
2016-01-26,22.54463768005371,30.0625,35.3865966796875,45.68060302734375,0.7000670433044434
2016-01-27,21.06330680847168,29.167499542236328,34.73895263671875,44.84877395629883,0.6917734742164612
2016-01-28,21.214374542236328,31.767499923706055,36.27592849731445,45.58428955078125,0.6842119097709656
2016-01-29,21.9471492767334,29.350000381469727,36.87095642089844,48.23737716674805,0.7144585847854614
2016-02-01,21.741962432861328,28.74049949645996,37.32009506225586,47.90464401245117,0.7147027254104614
2016-02-02,21.302305221557617,27.604999542236328,37.94788360595703,46.40736389160156,0.6844556927680969
2016-02-03,21.72393035888672,26.553499221801758,36.07691192626953,45.67184829711914,0.6878707408905029
2016-02-04,21.898483276367188,26.812999725341797,35.136966705322266,45.5317497253418,0.688114583492279
2016-02-05,21.313617706298828,25.10650062561035,33.92406463623047,43.920623779296875,0.6446959376335144
2016-02-08,21.538043975830078,24.405000686645508,33.88286590576172,43.263912200927734,0.6151807904243469
2016-02-09,21.533504486083984,24.103500366210938,33.65309143066406,43.150081634521484,0.6217665672302246
2016-02-10,21.37029266357422,24.52400016784668,33.95136260986328,43.52660369873047,0.6203032732009888
2016-02-11,21.24108123779297,25.19099998474121,33.90123748779297,43.50908660888672,0.6171324253082275
2016-02-12,21.306819915771484,25.354000091552734,33.865997314453125,44.21833419799805,0.6276209950447083
2016-02-16,21.907550811767578,26.05500030517578,34.29279327392578,45.05613327026367,0.658355712890625
2016-02-17,22.24306297302246,26.704999923706055,35.15631866455078,46.22904968261719,0.6746985912322998
2016-02-18,21.821413040161133,26.25,34.60793685913086,46.026222229003906,0.7327530384063721
2016-02-19,21.771541595458984,26.7450008392334,34.78461456298828,45.699913024902344,0.7425099611282349
2016-02-22,21.961959838867188,27.975000381469727,35.06004333496094,46.431888580322266,0.7688539028167725
2016-02-23,21.465503692626953,27.64699935913086,34.53349304199219,45.1355094909668,0.7708054780960083
2016-02-24,21.78513526916504,27.70199966430664,34.717613220214844,45.294254302978516,0.7761718034744263
2016-02-25,21.93475341796875,27.75749969482422,35.02480697631836,45.94685363769531,0.7778792381286621
2016-02-26,21.96875762939453,27.761499404907227,34.991065979003906,45.24134063720703,0.7727567553520203
2016-02-29,21.918888092041016,27.625999450683594,34.628780364990234,44.870941162109375,0.7677382230758667
2016-03-01,22.789382934570312,28.95199966430664,35.67294692993164,46.37015151977539,0.8017674088478088
2016-03-02,22.839263916015625,29.010499954223633,35.674930572509766,46.69647216796875,0.8064188361167908
2016-03-03,23.009279251098633,28.874500274658203,35.3558235168457,46.167327880859375,0.7993192076683044
2016-03-04,23.351581573486328,28.756999969482422,35.27989196777344,45.88511276245117,0.7968711853027344
2016-03-07,23.093154907226562,28.139999389648438,34.49924850463867,45.003204345703125,0.7917299270629883
2016-03-08,22.902732849121094,28.01300048828125,34.44019317626953,45.549991607666016,0.7772859334945679
2016-03-09,22.923139572143555,27.973499298095703,34.99949645996094,46.599449157714844,0.7767963409423828
2016-03-10,22.93447494506836,27.946500778198242,35.37567901611328,45.902748107910156,0.7755721211433411
2016-03-11,23.18155860900879,28.480499267578125,36.070465087890625,46.80229949951172,0.788792073726654
2016-03-14,23.240501403808594,28.668500900268555,36.252601623535156,46.89048385620117,0.7907508015632629
2016-03-15,23.70749282836914,28.85099983215332,36.145408630371094,47.26087951660156,0.7868337035179138
2016-03-16,24.022592544555664,28.713499069213867,36.530517578125,47.931114196777344,0.8103358149528503
2016-03-17,23.984052658081055,27.972000122070312,36.614383697509766,48.20451736450195,0.8034811615943909
2016-03-18,24.011260986328125,27.604000091552734,36.60545349121094,47.17267990112305,0.8277177214622498
2016-03-21,24.00898551940918,27.698999404907227,36.828285217285156,47.49899673461914,0.8301658034324646
2016-03-22,24.192611694335938,28.02400016784668,36.761783599853516,47.684200286865234,0.8286967873573303
2016-03-23,24.05886459350586,28.48150062561035,36.62828063964844,47.59600830078125,0.8428962826728821
2016-03-24,23.95457649230957,29.147499084472656,36.491302490234375,47.80764389038086,0.8441202044487
2016-03-28,23.84577178955078,28.993499755859375,36.40346908569336,47.21677780151367,0.8526889085769653
2016-03-29,24.410240173339844,29.69300079345703,36.961280822753906,48.24860382080078,0.8663986921310425
2016-03-30,24.83641815185547,29.934499740600586,37.24714279174805,48.54845428466797,0.8754564523696899
2016-03-31,24.707202911376953,29.68199920654297,36.970218658447266,48.707191467285156,0.8722739815711975
2016-04-01,24.933897018432617,29.924999237060547,37.21636962890625,49.00702667236328,0.8850043416023254
2016-04-04,25.190061569213867,29.659500122070312,36.987083435058594,48.88357925415039,0.8764358162879944
2016-04-05,24.89309310913086,29.30699920654297,36.61537551879883,48.116329193115234,0.8752118349075317
2016-04-06,25.153789520263672,30.104000091552734,37.00694274902344,48.61018753051758,0.8764358162879944
2016-04-07,24.605194091796875,29.571500778198242,36.73845672607422,48.02812957763672,0.8673776984214783
2016-04-08,24.63239288330078,29.729999542236328,36.682373046875,47.99285125732422,0.8730084300041199
2016-04-11,24.714000701904297,29.796499252319336,36.5310173034668,47.89585494995117,0.878394365310669
